Symbol,Name,"Wtd Alpha",Last,Change,%Chg,"52W High","52W Low","52W %Chg",Time
SBAC,"SBA Communications",+17.45,344.21,-2.26,-0.65%,369.56,232.88,+12.55%,2021-11-05
SBUX,"Starbucks Corp",+18.54,116.91,4.75,+4.24%,126.32,89.78,+29.01%,2021-11-05
SCHW,"The Charles Schwab Corp",+67.72,81.15,-0.3,-0.37%,84.49,40.98,+95.78%,2021-11-05
SEE,"Sealed Air Corp",+46.53,62.92,1.2,+1.94%,63.98,41.48,+48.33%,2021-11-05
SHW,"Sherwin-Williams Company",+34.90,319.03,0.44,+0.14%,323.82,218.06,+31.14%,2021-11-05
SIVB,"Svb Financial Group",+111.70,747.52,-3.66,-0.49%,762.95,312.34,+139.08%,2021-11-05
SJM,"J.M. Smucker Company",+4.46,125.78,0.97,+0.78%,140.65,110.53,+8.62%,2021-11-05
SLB,"Schlumberger N.V.",+72.44,33.51,0.36,+1.09%,36.87,15.14,+115.91%,2021-11-05
SNA,"Snap-On Inc",+14.98,212.01,2.41,+1.15%,259.99,160.76,+31.11%,2021-11-05
SNPS,"Synopsys Inc",+53.75,340.75,-0.97,-0.28%,345.12,211.2,+41.65%,2021-11-05
SO,"Southern Company",-0.42,63.1,0.6,+0.96%,67.54,56.69,+4.87%,2021-11-05
SPG,"Simon Property Group",+124.86,170.5,4.79,+2.89%,170.91,61.64,+168.63%,2021-11-05
SPGI,"S&P Global Inc",+37.42,460.29,-2.46,-0.53%,476.17,303.5,+29.30%,2021-11-05
SRE,Sempra,-5.41,127.35,0,0.00%,144.93,114.66,+0.27%,2021-11-05
STE,"Steris Corp",+18.74,224.58,2.34,+1.05%,237.27,170.36,+25.35%,2021-11-05
STT,"State Street Corp",+37.91,95.67,-0.86,-0.89%,100.69,62,+52.27%,2021-11-05
STX,"Seagate Technology Hldgs Plc",+67.27,96.75,1.45,+1.52%,106.22,52,+83.41%,2021-11-05
STZ,"Constellation Brands Inc",+7.15,222.69,3.33,+1.52%,244.75,182.14,+21.37%,2021-11-05
SWK,"Stanley Black & Decker Inc",-2.15,183.83,-0.44,-0.24%,225,167.65,+3.37%,2021-11-05
SWKS,"Skyworks Solutions",+7.31,164.06,-7.32,-4.27%,204,134.28,+10.02%,2021-11-05
SYF,"Synchrony Financial",+52.00,49.19,1.2,+2.50%,52.49,26.65,+79.00%,2021-11-05
SYK,"Stryker Corp",+18.90,276.16,6.1,+2.26%,281.16,208.92,+31.13%,2021-11-05
SYY,"Sysco Corp",+12.32,81.31,3.6,+4.63%,86.73,60.31,+33.67%,2021-11-05
T,"AT&T Inc",-16.89,25.1,0.3,+1.21%,33.88,24.54,-8.76%,2021-11-05
TAP,"Molson Coors Brewing Company",-0.21,46.61,0.4,+0.87%,61.48,38.08,+21.86%,2021-11-05
TDG,"Transdigm Group Inc",+17.29,665.14,35.96,+5.72%,688.03,515.35,+28.09%,2021-11-05
TDY,"Teledyne Technologies Inc",+16.94,446.35,-1.25,-0.28%,465.4,333.62,+32.76%,2021-11-05
TECH,"Bio-Techne Cp",+56.89,497.32,2.09,+0.42%,543.85,292.26,+63.27%,2021-11-05
TEL,"Te Connectivity Ltd",+43.48,158.8,3.83,+2.47%,159.1,104.39,+51.56%,2021-11-05
